ID;Name;Designator;Footprint;Quantity;Manufacturer Part;Manufacturer;Supplier;Supplier Part
1;ESP32-WROOM;U1;WIFI-SMD_ESP32-WROOM;1;ESP32-WROOM-32E;Espressif Systems;LCSC;
2;1N4148;D4,D3,D9,D5;SOD-323_L1.8-W1.3-LS2.5-RD;4;1N4148WS T4;CJ;LCSC;C2128
3;33K;R17,R11;R0402;2;0402WGF3302TCE;UniOhm;LCSC;C25779
4;120K;R18;R0402;1;0402WGF1203TCE;UniOhm;LCSC;C25750
5;10K;R12,R13,R7,R8,R15,R3,R1;R0402;7;0402WGF1002TCE;UniOhm;LCSC;C25744
6;22uF;C6;C0805;1;CL21A226MAYNNNE;Samsung Electro-Mechanics;LCSC;C602037
7;1uF;C5,C1;C0402;2;CL05A105KA5NQNC;SAMSUNG;LCSC;C52923
8;91K;R10;R0402;1;0402WGF9102TCE;UniOhm;LCSC;C4147
9;MF-MSMF110/16-2;F1;F1812;1;MF-MSMF110/16-2;BOURNS;LCSC;C210834
10;DSS34;D1,D2,D7;SOD-123_L2.8-W1.8-LS3.7-RD;3;DSS34;STARSEA;LCSC;C84632
11;SS34;D6;DO-214AC_L4.3-W2.7-LS5.3-RD;1;SS34;MDD;LCSC;C8678
12;2.2K;R4;R0402;1;0402WGF2201TCE;UniOhm;LCSC;C25879
13;1K;R5,R6;R0402;2;0402WGF1001TCE;UniOhm;LCSC;C11702
14;12K;R9;R0402;1;0402WGF1202TCE;UniOhm;LCSC;C25752
15;30.9K;R14;R0402;1;0402WGF3092TCE;Uniroyal Elec;LCSC;C270615
16;4.7K;R16;R0402;1;0402WGF4701TCE;UniOhm;LCSC;C25900
17;SS8050;Q1,Q2,Q3;SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR;3;SS8050;CJ;LCSC;C2150
18;ME2807A33M3G;U3;SOT-23_L2.9-W1.3-P1.90-LS2.4-BR;1;ME2807A33M3G;Nanjing Micro One Elec;LCSC;C236755
19;22uF;C8,C9,C11,C12;C0603;4;CL10A226MQ8NRNC;SAMSUNG;LCSC;C59461
20;10uH;L1;IND-SMD_L6.0-W6.0_SLP6028S;1;SLP6028S100MTT;Sunltech Tech;LCSC;C254862
21;10nF;C7;C0402;1;CL05B103KB5NNNC;SAMSUNG;LCSC;C15195
22;LMR12010XMK;U6;SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR;1;LMR12010XMK;TI;LCSC;C57930
23;100nF;C10,C4,C3;C0402_NEW;3;CL05B104KO5NNNC;SAMSUNG;LCSC;C1525
24;19-217/BHC-ZL1M2RY/3T;BLUE;LED0603-R-RD;1;19-217/BHC-ZL1M2RY/3T;EVERLIGHT;LCSC;C72041
25;19-217/GHC-YR1S2/3T;GREEN;LED0603-R-RD;1;19-217/GHC-YR1S2/3T;EVERLIGHT;LCSC;C72043
26;19-213/Y2C-CQ2R2L/3T(CY);YELLOW;LED0603-R-RD;1;19-213/Y2C-CQ2R2L/3T(CY);EVERLIGHT;LCSC;C72038
27;MT9700;U5;SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR;1;MT9700;AEROSEMI;LCSC;C89855
28;GT-TC029B-H025-L1N;RESET;SW-SMD_L3.9-W2.9-P4.15-LS5.0;1;GT-TC029B-H025-L1N;G-Switch;LCSC;C843669
29;CP2104;U4;QFN-24_L4.0-W4.0-P0.50-BL-EP2.7;1;CP2104-F03-GM;SILICON LABS;LCSC;C47742
30;USB3.1C16PFSMT;USB-C;USB-C-SMD_TYPE-C-USB-17;1;-;LCSC;LCSC;C167321
31;100uF;C2;CAP-SMD_L3.5-W2.8;1;TAJB107K006RNJ;AVX;LCSC;C16133
32;SN65HVD230DR;U2;SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL;1;SN65HVD230DR;TI;LCSC;C12084
33;120;R2;R1206;1;RTT061200FTP;RALEC;LCSC;C159715
34;PRTR5V0U2X_C2827688;D8;SOT-143-4_L2.9-W1.3-P1.92-LS2.4-BL;1;PRTR5V0U2X;TECH PUBLIC(台舟);LCSC;C2827688
